Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Taxi,3149,VIOLATION,FORD,ESCAPE,2010,WHITE,Hybrid,N,DINO CAB COMPANY,8001 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60619,EXPIRED AFFILIATION,Owner Manager,3149Taxi
Livery,9798,ACTIVE,LINCOLN,AVIATOR,2023,BLACK,Gasoline,N,"DV & G ENTERPRISES, INC.",2940 N. RUTHERFORD AVE.,CHICAGO,IL,60634,,,9798Livery
Livery,9829,ACTIVE,LINCOLN,NAVIGATOR,2022,BLACK,Gasoline,N,FENG WANG,3321 W. 38TH PL.,CHICAGO,IL,60632,,,9829Livery
Medicar,6590,INACTIVE,FORD,E150,2008,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,6590Medicar
Medicar,8469,INACTIVE,DODGE,CARAVAN,2015,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8469Medicar
Medicar,8470,VIOLATION,DODGE,CARAVAN,2015,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8470Medicar
Livery,70305,ACTIVE,CADILLAC,ESCALADE ESV,2021,BLACK,Gasoline,N,ICONIC LIMO INC.,124 S. CHURCHROAD AVE.,BENSENVILLE,IL,60638,,,70305Livery
Taxi,4245,VIOLATION,FORD,FUSION,2012,GREEN,Hybrid,N,NEW PISCES INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",4245Taxi
Livery,7518,ACTIVE,CADILLAC,ESCALADE ESV,2019,BLACK,Gasoline,N,DAGEM LIMO CORP,1349 W. TOUHY AVE.,CHICAGO,IL,60626,,,7518Livery
Ambulance,808520,RESERVED,FORD,E350,2014,WHITE,Gasoline,N,ELITE MEDICAL TRANSPORTATION LLC,11551  184TH PL.,ORLAND PARK,IL,60467,,,808520Ambulance
Medicar,12505,INACTIVE,FORD,E350,2010,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,12505Medicar
Taxi,6711,VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,PERM HACKING CORP.,5416 N. BROADWAY ST.,CHICAGO,IL,60640,EXPIRED AFFILIATION,Owner Manager,6711Taxi
Medicar,13248,INACTIVE,FORD,E350,2011,SILVER,Gasoline,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,13248Medicar
Taxi,1932,ACTIVE,TOYOTA,RAV4,2018,WHITE,Hybrid,N,JITEN INC.,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner-Operator,1932Taxi
Taxi,5234,ACTIVE,VPG,MV-1,2014,YELLOW,Hybrid,Y,TAXI MEDALLION GROUPLLC-SERIESXVIII,4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,5234Taxi
Medicar,9540,ACTIVE,DODGE,CARAVAN,2014,BLACK,Gasoline,N,RELIABLE TRANSIT LLC,1829 W. HOOD AVE.,CHICAGO,IL,60660,,,9540Medicar
Taxi,350,ACTIVE,TOYOTA,RAV4,2019,SILVER,Gasoline,N,"ADUROGER TRANS, INC",2419 W. HOLLYWOOD AVE.,CHICAGO,IL,60659,Independent1,Owner Manager,350Taxi
Taxi,418,VIOLATION,FORD,ESCAPE,2012,GREEN,Hybrid,N,VIRGO TAXI CAB CO.,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",418Taxi
Taxi,1026,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,ALMOND-HERMON HOLDINGS INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1026Taxi
Ambulance,808581,RESERVED,FORD,E350,2014,WHITE,Gasoline,N,ELITE MEDICAL TRANSPORTATION LLC,11551  184TH PL.,ORLAND PARK,IL,60467,,,808581Ambulance
Medicar,13630,INACTIVE,DODGE,GRAND CARAVAN,2011,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,13630Medicar
Livery,8495,ACTIVE,LINCOLN,NAVIGATOR,2022,BLACK,Gasoline,N,IRFAN LIMITED,955 W. FOSTER AVE.,CHICAGO,IL,60640,,,8495Livery
Medicar,8489,VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8489Medicar
Taxi,137,SURRENDER,TOYOTA,CAMRY,2011,BLUE/WHITE,Hybrid,N,MCCAB VI CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",137Taxi
Livery,8031,ACTIVE,CADILLAC,ESCALADE ESV,2022,BLACK,Gasoline,N,ERIK MALONE TRANSPORT INC,651 E. 88TH PL.,CHICAGO,IL,60619,,,8031Livery
Taxi,3283,ACTIVE,TOYOTA,CAMRY,2022,WHITE,Gasoline,N,MOHIUDDIN TRANSPORTATION INC,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner-Operator,3283Taxi
Charter Sightseeing,13141,INACTIVE,FORD,E450,2006,WHITE,Gasoline,N,METRO LIMOUSINE INC,8535 W. HIGGINS RD.,CHICAGO,IL,60631,,,13141Charter Sightseeing
Taxi,5005,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,K & V TRANSPORTATION INC,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,Globe Taxi Association Inc,Owner-Operator,5005Taxi
Livery,9186,ACTIVE,LINCOLN,NAVIGATOR L,2024,BLACK,Gasoline,N,MAMDOUH A. ALLAM,2737 N. MOBILE AVE.,CHICAGO,IL,60639,,,9186Livery
Ambulance,5576,INACTIVE,CHEVROLET,EXPRESS,2009,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5576Ambulance
Livery,70721,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,,,,,,,70721Livery
Livery,7628,ACTIVE,LINCOLN,NAVIGATOR,2019,BLACK,Gasoline,N,INNERBLOOM TRANSPORT LLC,1533 W. SUPERIOR ST.,CHICAGO,IL,60642,,,7628Livery
Taxi,6128,SURRENDER,FORD,ESCAPE,2012,WHITE,Flex Fuel,N,ADE CROWN INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,6128Taxi
Livery,9741,ACTIVE,LINCOLN,NAVIGATOR L,2022,BLACK,Gasoline,N,DTA PREMIER CAR SERVICE LLC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,9741Livery
Taxi,2747,VIOLATION,DODGE,GRAND CARAVAN,2012,WHITE,Flex Fuel,N,LEMAJ INC,5136 N. WESTERN AVE.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,2747Taxi
Taxi,3087,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,AWOL TAXI INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,DIS-AFFILIATED,Owner Manager,3087Taxi
Livery,7255,ACTIVE,CADILLAC,XTS,2019,BLACK,Gasoline,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,4610 N. CLARK ST.,CHICAGO,IL,60640,,,7255Livery
Livery,8252,ACTIVE,LINCOLN,CORSAIR,2022,BLACK,Gasoline,N,KOKOWAWA INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,8252Livery
Medicar,7090,INACTIVE,FORD,E150,2009,WHITE,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,7090Medicar
Taxi,1204,VIOLATION,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,J T CAB CO,4448 N. CENTRAL AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,1204Taxi
Taxi,3167,VIOLATION,NISSAN,ALTIMA,2011,BLUE,Hybrid,N,FRANKLIN TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,3167Taxi
Medicar,8720,VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8720Medicar
Medicar,24019,ACTIVE,VOLKSWAGEN,TELLURIDE,2008,GRAY,Gasoline,N,JOHNEST TRANSPORTATION AND CONCIERGE SERVICES LLC,3413 W. 76TH ST.,CHICAGO,IL,60652,,,24019Medicar
Medicar,15205,INACTIVE,FORD,E350,2010,WHITE,Gasoline,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619,,,15205Medicar
Livery,8430,ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,DANAYAL LIMOUSINE INC.,3530 W. PETERSON AVE.,CHICAGO,IL,60659,,,8430Livery
Taxi,5388,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,NEW CITY CAB CORP,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5388Taxi
Taxi,728,VIOLATION,FORD,FUSION,2011,GRAY/WHITE,Hybrid,N,DASARI CAB INC.,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Owner Manager,728Taxi
Medicar,8719,INACTIVE,DODGE,CARAVAN,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8719Medicar
Medicar,8721,VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8721Medicar
Taxi,5376,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,TAXI MEDALLIONGROUP LLCSERIESXXIX,4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,5376Taxi
Taxi,6523,ACTIVE,TOYOTA,RAV4,2018,WHITE,Hybrid,N,BAHABLA CORP,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner-Operator,6523Taxi
Taxi,5530,ACTIVE,TOYOTA,CAMRY,2021,WHITE,Hybrid,N,LAS PALMAS CAB CO INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,5530Taxi
Taxi,690,ACTIVE,TOYOTA,CAMRY,2023,WHITE,Hybrid,N,"YEMKEM, INC",2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner-Operator,690Taxi
Livery,9619,ACTIVE,FORD,EXPEDITION,2021,BLACK,Gasoline,N,ROBERTO SALGADO,4202 N. TROY ST.,CHICAGO,IL,60618,,,9619Livery
Medicar,8753,INACTIVE,FORD,E250,2010,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,8753Medicar
Livery,7622,ACTIVE,LINCOLN,MKT,2017,WHITE,Gasoline,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,4610 N. CLARK ST.,CHICAGO,IL,60640,,,7622Livery
Livery,70307,ACTIVE,LINCOLN,NAVIGATOR L,2023,BLACK,Gasoline,N,PATHAK INC.,6459 N. OAKLEY AVE.,CHICAGO,IL,60645,,,70307Livery
Taxi,5638,ACTIVE,TOYOTA,CAMRY,2017,YELLOW,Hybrid,N,"TAXI MEDALLION GROUP, LLC SERIES 32",4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,5638Taxi
Taxi,5286,SURRENDER,,CAMRY,2000,WHITE,Hybrid,N,"EAGLE TAXI, INC.",9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,5286Taxi
Taxi,802,VIOLATION,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,MADISON TAXI CORP.,5200 N. OTTO AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,802Taxi
Taxi,2475,SURRENDER,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,LEGEND CAB CO,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Choice Taxi Association Inc,Owner Manager,2475Taxi
Charter Sightseeing,7246,INACTIVE,FORD,TROLLEY,1997,RED/GREEN,Gasoline,N,"TRT TRANSPORTATION, INC.",4400 S. RACINE AVE.,CHICAGO,IL,60609,,,7246Charter Sightseeing
Taxi,1353,ACTIVE,FORD,C-MAX,2013,SILVER,Hybrid,N,ADFEM LLC,7389 N. DAMEN AVE.,CHICAGO,IL,60645,Independent1,Owner-Operator,1353Taxi
Taxi,850,ACTIVE,TOYOTA,PRIUS,2019,SILVER,Hybrid,N,RAJ TAXI INC,5757 N. SHERIDAN RD.,CHICAGO,IL,60660,Independent1,Owner-Operator,850Taxi
Taxi,622,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,ZENIYAH INC,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,Globe Taxi Association Inc,Owner Manager,622Taxi
Taxi,4431,VIOLATION,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,DADA EXPRESS INC II,4118 W. LAWRENCE,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,4431Taxi
Taxi,4462,VIOLATION,FORD,ESCAPE,2010,GREEN,Hybrid,N,"NECT 3, INC",6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",4462Taxi
Medicar,6696,INACTIVE,FORD,E250,2007,WHITE,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,6696Medicar
Livery,7673,RESERVED,CADILLAC,XTS,2019,BLACK,Gasoline,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,4610 N. CLARK ST.,CHICAGO,IL,60640,,,7673Livery
Taxi,161,ACTIVE,TOYOTA,SIENNA,2018,BLUE/WHITE,Gasoline,Y,MCCAB XIV CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",161Taxi
Taxi,3868,ACTIVE,TOYOTA,CAMRY,2024,WHITE/RED/STRIPES,Gasoline,N,"ILIRJAN, INC.",5851 N. ELSTON AVE.,CHICAGO,IL,60646,Independent2,Owner-Operator,3868Taxi
Taxi,964,ACTIVE,TOYOTA,PRIUS,2014,GREEN,Hybrid,N,NECT 38 LLC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",964Taxi
Ambulance,5530,INACTIVE,FORD,VAN,2001,,Gasoline,N,"ATI VANDENBERG AMBULANCE, INC.",8400 W. 183RD ST.,TINLEY PARK,IL,60477,,,5530Ambulance
Taxi,860,ACTIVE,HYUNDAI,ELANTRA,2018,WHITE,Gasoline,N,ZEUS CAB CORP.,3452 N. ELSTON AVE.,CHICAGO,IL,60618,Top Cab Association,Top Cab Corp.,860Taxi
Taxi,2211,VIOLATION,TOYOTA,SIENNA,2016,WHITE/BLUE,Gasoline,Y,DAEM RIDE INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625,Peace Taxi Assoc Inc,Owner Manager,2211Taxi
Taxi,1777,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,"WADOOD, INC",4876 N. CLARK ST.,CHICAGO,IL,60640,Flash Cab Co,Owner Manager,1777Taxi
Taxi,678,VIOLATION,FORD,ESCAPE,2012,YELLOW,Hybrid,N,JOSCO TRANS SERVICES INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner-Operator,678Taxi
Taxi,6963,ACTIVE,TOYOTA,SIENNA,2022,YELLOW,Hybrid,Y,KEPHALIS TRANSPORTATION INC,7434 S. INDIANA AVE.,CHICAGO,IL,60619,Yellow Cab Association,Owner-Operator,6963Taxi
Taxi,2529,VIOLATION,TOYOTA,CAMRY,2010,WHITE/BLUE,Hybrid,N,PARS RIDE INCORPORATED,5136 N. WESTERN AVE.,CHICAGO,IL,60625,Peace Taxi Assoc Inc,Owner Manager,2529Taxi
Taxi,3898,ACTIVE,DODGE,CARAVAN,2018,WHITE/BLACK/STRIPES,Flex Fuel,N,HEMERY INVESTMENT LLC,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner-Operator,3898Taxi
Taxi,4485,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,PORTILLO TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,4485Taxi
Livery,9494,ACTIVE,LINCOLN,NAUTILUS,2023,BLACK,Gasoline,N,IMRAN LIMOUSINE SERVICES LLC,2723 W. DEVON AVE.,CHICAGO,IL,60659,,,9494Livery
Taxi,2763,SURRENDER,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,P M HANIF CAB INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner-Operator,2763Taxi
Taxi,743,ACTIVE,TOYOTA,CAMRY,2018,WHITE/BLUE,Hybrid,N,YARED CORPORATION,4848 N. WINTHROP AVE.,CHICAGO,IL,60640,Independent1,Owner-Operator,743Taxi
Livery,8118,ACTIVE,LINCOLN,NAVIGATOR,2019,BLACK,Gasoline,N,CHAMBERS HOLDINGS LLC,3473 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60616,,,8118Livery
Taxi,2718,ACTIVE,FORD,ESCAPE,2008,WHITE/BLACK/STRIPES,Hybrid,N,WAFAZADA CAB INC,6301 N. WINTHROP AVE.,CHICAGO,IL,60660,Independent1,Owner-Operator,2718Taxi
Taxi,1967,ACTIVE,TOYOTA,PRIUS,2012,BLACK,Hybrid,N,FITUS TAXI LLC,6103 N. CLAREMONT AVE.,CHICAGO,IL,60659,Independent1,Owner-Operator,1967Taxi
Medicar,9304,ACTIVE,KIA,SOUL,2020,BLACK,Gasoline,N,JACKQUELINE A WOOLDRIDGE,12032 S. LOWE AVE.,CHICAGO,IL,60628,,,9304Medicar
Taxi,1580,ACTIVE,DODGE,GRAND CARAVAN,2017,WHITE,Gasoline,Y,PARIKH ENTERPRISES III INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,1580Taxi
Taxi,2028,ACTIVE,KIA,SOUL,2018,LAVENDER,Gasoline,N,CHICAGO CAB CORP.,2945 W. PETERSON AVE.,CHICAGO,IL,60659,CHICAGO CITY TAXI ASSOC,Top Cab Corp.,2028Taxi
Taxi,6436,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,TAXI MEDALLION GROUP LLC - SERIES 33,4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,6436Taxi
Taxi,125,VIOLATION,TOYOTA,SIENNA,2013,WHITE,Gasoline,N,AGBEKO CAB INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,125Taxi
Taxi,1888,SURRENDER,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,"TAXI MEDALLION GROUP, LLC-SERIES XV",4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,1888Taxi
Taxi,2460,SURRENDER,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,"SYQ, INC.",9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,2460Taxi
Livery,7631,VIOLATION,CHEVROLET,SUBURBAN,2017,BLACK,Gasoline,N,JOHN H. GLENN,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,7631Livery
Livery,7204,ACTIVE,LINCOLN,NAUTILUS,2023,BLACK,Gasoline,N,ARHAM EXPRESS INC.,7843 W. FOREST PRESERVE AVE.,CHICAGO,IL,60634,,,7204Livery
Taxi,298,VIOLATION,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CARILLON TRANSIT LLC,2738 W. FULTON ST.,CHICAGO,IL,60612,EXPIRED AFFILIATION,Owner Manager,298Taxi
Livery,8103,ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,LIMO CORP OF CHICAGO INC,6166 W. HIGGINS AVE.,CHICAGO,IL,60630,,,8103Livery
Charter Sightseeing,11590,INACTIVE,FORD,F650,2007,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,6321 N. AVONDALE AVE.,CHICAGO,IL,60631,,,11590Charter Sightseeing
Ambulance,895574,INACTIVE,FORD,E350,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,895574Ambulance
Ambulance,5037,INACTIVE,,,,,Gasoline,N,TOWER AMBULANCE,5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,5037Ambulance
Livery,9382,ACTIVE,GMC,YUKON XL,2021,BLACK,Gasoline,N,A1 SUPREME LUXURY BLACK CAR SERVICE LLC,1751 E. 73RD PL.,CHICAGO,IL,60649,,,9382Livery
Medicar,6402,INACTIVE,CHEVROLET,EXPRESS,2006,WHITE,Gasoline,N,CATCH A RIDE TRANSPORTATION INC,8114 S. LAFAYETTE AVE.,CHICAGO,IL,60620,,,6402Medicar
Charter Sightseeing,23046,VIOLATION,GMC,SAVANA,2016,WHITE,Gasoline,N,VAN-AL TRANSIT SHUTTLE LLC,414 W. 98TH PL.,CHICAGO,IL,60628,,,23046Charter Sightseeing
Ambulance,4898,ACTIVE,MERCEDES,SPRINTER,2016,BLUE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,4898Ambulance
Taxi,3317,VIOLATION,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,"MAJESTIC EXPRESS, INC.",2601 W. PETERSON AVE.,CHICAGO,IL,60659,DIS-AFFILIATED,Owner Manager,3317Taxi
Livery,8212,RESERVED,LINCOLN,AVIATOR,2023,BLACK,Gasoline,N,LE ROYAL LIMO INCORPORATED,8507 W. WINNEMAC AVE.,CHICAGO,IL,60656,,,8212Livery
Taxi,2058,VIOLATION,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,FARHAT TRANS INC,6304 N. CLARK ST.,CHICAGO,IL,60660,DIS-AFFILIATED,Owner Manager,2058Taxi
Taxi,3867,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,N,SIMON CAB CO,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,Globe Taxi Association Inc,Owner-Operator,3867Taxi
Livery,70722,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,,,,,,,70722Livery
Taxi,2510,VIOLATION,TOYOTA,SCION,2013,WHITE,Gasoline,N,R & R TRANS INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,2510Taxi
Taxi,447,VIOLATION,FORD,ESCAPE,2011,GREEN,Hybrid,N,VIRGO TAXI CAB CO.,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",447Taxi
Livery,8223,ACTIVE,LINCOLN,NAUTILUS,2023,BLACK,Gasoline,N,DANNY & AZEE 0786 LLC,3760 N. OKETO AVE.,CHICAGO,IL,60634,,,8223Livery
Taxi,4785,ACTIVE,TOYOTA,RAV4,2017,GRAY/WHITE,Hybrid,N,MEMONA CAB CORP.,814 W. LAKESIDE PL.,CHICAGO,IL,60640,Independent1,Owner-Operator,4785Taxi
Taxi,2941,VIOLATION,NISSAN,ALTIMA,2010,BLUE,Hybrid,N,TRIBECA TWO CAB CORP.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,2941Taxi
Ambulance,895527,INACTIVE,FORD,E350,2009,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,895527Ambulance
Taxi,847,ACTIVE,TOYOTA,SIENNA,2023,WHITE,Gasoline,Y,SECONDPAGE TRANSPORT INC,1965 W. SUMMERDALE AVE.,CHICAGO,IL,60640,Flash Cab Co,Owner-Operator,847Taxi
Taxi,6750,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,TAXI MEDALLION GROUP LLC-SERIES 37,4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,6750Taxi
Taxi,5456,SURRENDER,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,N,DNY TAXI INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner-Operator,5456Taxi
Taxi,6067,SURRENDER,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,MANAL INC,2601 W. PETERSON AVE.,CHICAGO,IL,60659,DIS-AFFILIATED,Owner Manager,6067Taxi
Taxi,2528,VIOLATION,FORD,ESCAPE,2012,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,5136 N. WESTERN AVE.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,2528Taxi
Taxi,2152,SURRENDER,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,N,G S BHATTI TAXI INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner Manager,2152Taxi
Livery,9531,ACTIVE,LINCOLN,AVIATOR,2023,BLACK,Gasoline,N,MOSNAD INC,5443 N. WINTHROP AVE.,CHICAGO,IL,60640,,,9531Livery
Ambulance,895575,INACTIVE,FORD,E350,2016,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,895575Ambulance
Taxi,2915,ACTIVE,FORD,ESCAPE,2018,CREAM/BLUE,Gasoline,N,GULAB TRANSPORTATION INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Blue Diamond Taxi Affil Inc,Owner-Operator,2915Taxi
Ambulance,5487,ACTIVE,FORD,E350,2013,WHITE/BLUE,Gasoline,N,"ATI VANDENBERG AMBULANCE, INC.",8400 W. 183RD ST.,TINLEY PARK,IL,60477,,,5487Ambulance
Taxi,807,ACTIVE,TOYOTA,SIENNA,2019,WHITE/BLUE/STRIPES,Gasoline,Y,AIAI TAXI INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,Owner Manager,807Taxi
Horse Drawn Carriage,8,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,8Horse Drawn Carriage
Taxi,374,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,GALA CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,374Taxi
